GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MotoGPManager,com.bae.util,JSONUtil,0,19,0,0,0,5,0,3,0,3
MotoGPManager,com.bae.persistence.domain,Championship,31,15,0,0,14,6,9,1,9,1
MotoGPManager,com.bae.persistence.domain,Teams,7,26,0,0,3,11,2,5,2,5
MotoGPManager,com.bae.persistence.domain,RaceLog,7,69,0,0,3,29,2,14,2,14
MotoGPManager,com.bae.persistence.domain,Riders,7,49,0,0,3,20,2,10,2,10
MotoGPManager,com.bae.business,ChampionshipService,0,7,0,0,0,2,0,2,0,2
MotoGPManager,com.bae.business,TeamsService,0,28,0,0,0,6,0,6,0,6
MotoGPManager,com.bae.business,RidersService,0,28,0,0,0,6,0,6,0,6
MotoGPManager,com.bae.business,RaceLogService,0,28,0,0,0,6,0,6,0,6
MotoGPManager,com.bae.persistence.repository,RidersDBRepository,0,110,0,4,0,25,0,10,0,8
MotoGPManager,com.bae.persistence.repository,RacelogDBRepository,0,118,0,4,0,27,0,10,0,8
MotoGPManager,com.bae.persistence.repository,ChampionshipDBRepository,0,23,0,0,0,7,0,4,0,4
MotoGPManager,com.bae.persistence.repository,TeamsDBRepository,0,102,0,4,0,23,0,10,0,8
MotoGPManager,com.bae.rest,TeamsController,0,28,0,0,0,6,0,6,0,6
MotoGPManager,com.bae.rest,JAXActivator,3,0,0,0,1,0,1,0,1,0
MotoGPManager,com.bae.rest,RaceLogController,0,28,0,0,0,6,0,6,0,6
MotoGPManager,com.bae.rest,ChampionshipController,0,7,0,0,0,2,0,2,0,2
MotoGPManager,com.bae.rest,RidersController,0,28,0,0,0,6,0,6,0,6
